id,issue_date,employment_length,home_ownership,income_category,annual_income,loan_amount,term,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_payment,installment,region
36400960,2014-12-01,0.5,MORTGAGE,Low,100000,35000, 36 months,debt_consolidation,High,Good Loan,18.54,E,22.7,16536.87,1274.84,ulster
37671236,2014-12-01,1.0,OWN,Low,38500,14575, 36 months,credit_card,Low,Good Loan,10.49,B,20.36,6125.94,473.66,leinster
36410952,2014-12-01,5.0,MORTGAGE,Low,50000,10000, 36 months,debt_consolidation,High,Good Loan,14.31,C,9.77,4454.82,343.29,ulster
36200915,2014-12-01,3.0,MORTGAGE,Low,95000,29000, 60 months,debt_consolidation,Low,Good Loan,8.67,B,19.89,7737.74,597.36,leinster
35968678,2014-12-01,2.0,RENT,Low,40000,10000, 36 months,debt_consolidation,Low,Good Loan,6.49,A,13.38,3980.24,306.45,Northern-Irl
36158943,2014-12-01,1.0,MORTGAGE,Medium,105300,35000, 60 months,debt_consolidation,Low,Good Loan,12.39,C,15.85,10187.15,785.48,cannught
36270336,2014-12-01,6.0,MORTGAGE,High,260000,35000, 36 months,debt_consolidation,Low,Good Loan,8.67,B,10.0,14382.33,1107.63,ulster
37237736,2014-12-01,10.0,MORTGAGE,Low,90000,35000, 60 months,credit_card,Low,Good Loan,11.44,B,12.6,9948.48,768.69,ulster
36331663,2014-12-01,0.5,RENT,Medium,130000,35000, 60 months,debt_consolidation,High,Good Loan,19.99,E,6.83,12013.43,927.1,Northern-Irl
37257339,2014-12-01,6.0,MORTGAGE,Medium,190000,30000, 60 months,credit_card,High,Good Loan,14.31,C,19.32,9113.59,702.88,ulster
36380864,2014-12-01,10.0,MORTGAGE,Low,53102,24350, 60 months,debt_consolidation,Low,Good Loan,12.39,C,15.95,7070.59,546.47,cannught
36802944,2014-12-01,10.0,MORTGAGE,Low,64000,12000, 36 months,home_improvement,Low,Good Loan,8.67,B,31.56,4542.67,379.76,cannught
35939666,2014-12-01,0.5,RENT,Medium,115000,20000, 36 months,credit_card,Low,Good Loan,9.49,B,2.14,8316.87,640.57,Northern-Irl
36797673,2014-12-01,10.0,OWN,Low,70000,12000, 36 months,credit_card,Low,Good Loan,11.44,B,26.85,5132.18,395.37,munster
36068815,2014-12-01,8.0,RENT,Low,83700,13450, 60 months,debt_consolidation,High,Good Loan,18.54,E,24.32,4477.78,345.51,ulster
36049618,2014-12-01,10.0,MORTGAGE,Low,95000,15000, 36 months,debt_consolidation,High,Bad Loan,14.99,C,10.2,4666.7,519.91,cannught
34512600,2014-12-01,8.0,MORTGAGE,Low,33535,12000, 60 months,debt_consolidation,Low,Good Loan,11.44,B,19.65,3418.52,263.55,leinster
36803015,2014-12-01,2.0,RENT,Low,100000,20000, 36 months,credit_card,Low,Good Loan,7.49,A,5.93,7456.16,622.04,Northern-Irl
37197275,2014-12-01,2.0,RENT,Low,20000,3600, 36 months,credit_card,High,Good Loan,15.59,D,32.41,1632.8,125.84,leinster
37720270,2014-12-01,2.0,MORTGAGE,Low,41000,8800, 36 months,debt_consolidation,Low,Good Loan,12.99,C,24.15,9418.15,296.47,Northern-Irl
35959245,2014-12-01,10.0,MORTGAGE,Low,52000,23850, 60 months,debt_consolidation,High,Good Loan,16.49,D,19.41,7599.01,586.22,cannught
35939454,2014-12-01,10.0,RENT,Low,67000,21600, 60 months,debt_consolidation,High,Good Loan,14.31,C,11.86,6561.87,506.08,Northern-Irl
36290898,2014-12-01,10.0,OWN,Low,53686,26775, 60 months,debt_consolidation,High,Good Loan,21.99,E,20.61,9589.14,739.35,leinster
